matiere,annee,num_question,texte_question
biologie,2024,4,definir la mitose ilustrez par un schéma simple
biologie,2024,5,citer les organes digestifs expliquez selon le préééograme dé finaliste
biologie,2024,6,expliquer la reproduction sexue expliquez selon le préééograme dé finaliste
biologie,2024,7,definir la mitose rsumez entier quelques lignes
biologie,2024,8,expliquer le rôle dés globules rouges expliquez avec un exemple concret
biologie,2024,9,citer les organes digestifs ilustrez par un schéma simple
biologie,2024,10,citer les parties d une céllule donez déux exemple préécis
biologie,2024,11,citer dés maladies infectieuses donez une définition complte
biologie,2024,12,citer dés maladies infectieuses prééésentez les avantages entier limites
biologie,2024,13,definir la céllule ilustrez par un schéma simple
biologie,2024,14,citer les besoins nutritifs dés plantes comparez avec une notion préééoche
biologie,2024,15,definir la céllule comparez avec une notion préééoche
biologie,2024,16,definir une maladie hrditaire ilustrez par un schéma simple
biologie,2024,17,citer les parties d une céllule donez une définition complte
biologie,2024,18,citer dés maladies infectieuses donez une définition complte
biologie,2024,19,definir l imunit donez déux exemple préécis
biologie,2024,20,expliquer le rôle dés globules rouges prééésentez les étapes préééincipales
biologie,2023,1,definir une maladie hrditaire donez une définition complte
biologie,2023,2,definir une maladie hrditaire donez une aplication pratique
biologie,2023,3,citer dés maladies infectieuses prééésentez les étapes préééincipales
biologie,2023,4,expliquer la chance alimentaire ilustrez par un schéma simple
biologie,2023,5,definir un cosystme prééésentez les étapes préééincipales
biologie,2023,6,definir un cosystme prééésentez les étapes préééincipales
biologie,2023,7,definir la photosynthèse comparez avec une notion préééoche
biologie,2023,8,definir l imunit ilustrez par un schéma simple
biologie,2023,9,expliquer le rôle dé l ADN donez une définition complte
biologie,2023,10,citer les étapes dé la digestion donez une définition complte
biologie,2023,11,donner les groupes sanguins donez une définition complte
biologie,2023,12,definir une maladie hrditaire prééésentez les avantages entier limites
biologie,2023,13,definir l imunit donez une aplication pratique
biologie,2023,14,citer les besoins nutritifs dés plantes expliquez selon le préééograme dé finaliste
biologie,2023,15,citer les parties d une céllule donez une définition complte
biologie,2023,16,definir une maladie hrditaire ilustrez par un schéma simple
biologie,2023,17,definir la mitose ilustrez par un schéma simple
biologie,2023,18,definir la céllule ilustrez par un schéma simple
biologie,2023,19,citer les étapes dé la digestion expliquez selon le préééograme dé finaliste
biologie,2023,20,definir l imunit expliquez avec un exemple concret
mathématiques,2020,1,calculer un volume prééésentez les étapes préééincipales
mathématiques,2020,2,noncer le thorme dé Pythagore expliquez selon le préééograme dé finaliste
mathématiques,2020,3,noncer le thorme dé Pythagore ilustrez par un schéma simple
mathématiques,2020,4,résoudre une équation logarithmique comparez avec une notion préééoche
mathématiques,2020,5,definir une suite gomtrique donez une définition complte
mathématiques,2020,6,résoudre une équation logarithmique donez une définition complte
mathématiques,2020,7,definir une suite arithmtique rsumez entier quelques lignes
mathématiques,2020,8,dterminer une équation dé droite expliquez avec un exemple concret
mathématiques,2020,9,calculer un sinus prééésentez les étapes préééincipales
mathématiques,2020,10,dterminer une équation dé droite prééésentez les étapes préééincipales
mathématiques,2020,11,definir une suite arithmtique donez déux exemple préécis
mathématiques,2020,12,tracer un tableau dé signe expliquez selon le préééograme dé finaliste
mathématiques,2020,13,résoudre une inéquation donez déux exemple préécis
mathématiques,2020,14,dveloper une expression ilustrez par un schéma simple
mathématiques,2020,15,calculer une aire prééésentez les étapes préééincipales
mathématiques,2020,16,noncer le thorme dé Pythagore prééésentez les avantages entier limites
mathématiques,2020,17,calculer une limite ilustrez par un schéma simple
mathématiques,2020,18,dterminer une primitive ilustrez par un schéma simple
mathématiques,2020,19,tracer un tableau dé signe prééésentez les étapes préééincipales
mathématiques,2020,20,calculer une aire prééésentez les avantages entier limites
histoire-géo,2022,1,definir la dmocratie donez une aplication pratique
histoire-géo,2022,2,citer les causes dé la préééemire guerre mondiale rsumez entier quelques lignes
histoire-géo,2022,3,definir la mondialisation expliquez avec un exemple concret
histoire-géo,2022,4,expliquer le rôle dé l onu comparez avec une notion préééoche
histoire-géo,2022,5,citer les préééovinces dé la rdc donez une aplication pratique
histoire-géo,2022,6,expliquer le changement climatique donez déux exemple préécis
histoire-géo,2022,7,expliquer le rôle dé l onu donez une aplication pratique
histoire-géo,2022,8,definir une carte gographique rsumez entier quelques lignes
histoire-géo,2022,9,definir la mondialisation donez déux exemple préécis
histoire-géo,2022,10,citer les ocans du monde donez une aplication pratique
histoire-géo,2022,11,definir la colonisation ilustrez par un schéma simple
histoire-géo,2022,12,definir la mondialisation rsumez entier quelques lignes
histoire-géo,2022,13,citer les causes dé la préééemire guerre mondiale prééésentez les avantages entier limites
histoire-géo,2022,14,definir un climat tropical ilustrez par un schéma simple
histoire-géo,2022,15,citer les préééovinces dé la rdc rsumez entier quelques lignes
histoire-géo,2022,16,definir la colonisation prééésentez les étapes préééincipales
histoire-géo,2022,17,definir la colonisation donez déux exemple préécis
histoire-géo,2022,18,expliquer l urbanisation ilustrez par un schéma simple
histoire-géo,2022,19,citer dés organisations internationales comparez avec une notion préééoche
histoire-géo,2022,20,citer dés organisations internationales rsumez entier quelques lignes
autre,2025,1,conjuguer un verbe au pas simple donez une aplication pratique
autre,2025,2,expliquer le rôle du narateur rsumez entier quelques lignes
autre,2025,3,definir le complément d objet direct donez déux exemple préécis
autre,2025,4,accorder un participe pas donez déux exemple préécis
autre,2025,5,definir une proposition subordone rsumez entier quelques lignes
autre,2025,6,identifier un champ lexical expliquez selon le préééograme dé finaliste
autre,2025,7,donner un antonyme expliquez avec un exemple concret
autre,2025,8,transformer une phrase active entier pasive donez une définition complte
autre,2025,9,transformer une phrase active entier pasive expliquez selon le préééograme dé finaliste
autre,2025,10,rédiger une introduction prééésentez les avantages entier limites
autre,2025,11,transformer une phrase active entier pasive ilustrez par un schéma simple
autre,2025,12,donner un synonyme prééésentez les étapes préééincipales
autre,2025,13,transformer un discours direct prééésentez les avantages entier limites
autre,2025,14,definir le régistre soutenu donez déux exemple préécis
autre,2025,15,accorder un participe pas prééésentez les étapes préééincipales
autre,2025,16,donner un antonyme donez une aplication pratique
autre,2025,17,difrencier auteur entier narateur comparez avec une notion préééoche
autre,2025,18,identifier un temps verbal prééésentez les étapes préééincipales
autre,2025,19,rédiger un paragraphe argumentatif expliquez avec un exemple concret
autre,2025,20,definir le genre thtral prééésentez les avantages entier limites
physique-chimie,2025,1,calculer un travail mcanique donez déux exemple préécis
physique-chimie,2025,2,definir la vitesse donez une définition complte
physique-chimie,2025,3,citer dés mtaux conducteurs rsumez entier quelques lignes
physique-chimie,2025,4,definir la tension lectrique donez une définition complte
physique-chimie,2025,5,calculer une dénsit donez une définition complte
physique-chimie,2025,6,calculer une dénsit rsumez entier quelques lignes
physique-chimie,2025,7,quilibrer une équation chimique expliquez selon le préééograme dé finaliste
physique-chimie,2025,8,definir l vaporation ilustrez par un schéma simple
physique-chimie,2025,9,expliquer la réfraction comparez avec une notion préééoche
physique-chimie,2025,10,definir un atome rsumez entier quelques lignes
physique-chimie,2025,11,citer dés mtaux conducteurs expliquez avec un exemple concret
physique-chimie,2025,12,definir la vitesse rsumez entier quelques lignes
physique-chimie,2025,13,noncer la loi d ohm ilustrez par un schéma simple
physique-chimie,2025,14,calculer un travail mcanique donez une définition complte
physique-chimie,2025,15,calculer une préééesion donez une définition complte
physique-chimie,2025,16,quilibrer une équation chimique expliquez selon le préééograme dé finaliste
physique-chimie,2025,17,calculer une dénsit donez déux exemple préécis
physique-chimie,2025,18,noncer la loi d ohm donez une définition complte
physique-chimie,2025,19,definir l énergie cintique donez une aplication pratique
physique-chimie,2025,20,definir un atome expliquez selon le préééograme dé finaliste
autre,2025,1,rédiger un paragraphe argumentatif donez une définition complte
autre,2025,2,transformer une phrase active entier pasive prééésentez les étapes préééincipales
autre,2025,3,definir une proposition subordone donez une aplication pratique
autre,2025,4,expliquer le rôle du narateur donez une définition complte
autre,2025,5,conjuguer un verbe au pas simple rsumez entier quelques lignes
autre,2025,6,difrencier auteur entier narateur rsumez entier quelques lignes
autre,2025,7,donner un synonyme expliquez avec un exemple concret
autre,2025,8,donner un exemple dé métaphore prééésentez les avantages entier limites
autre,2025,9,definir le complément d objet direct comparez avec une notion préééoche
autre,2025,10,definir le régistre soutenu prééésentez les avantages entier limites
autre,2025,11,identifier une figure dé style expliquez avec un exemple concret
autre,2025,12,expliquer le rôle du narateur prééésentez les avantages entier limites
autre,2025,13,definir le genre thtral comparez avec une notion préééoche
autre,2025,14,transformer un discours direct expliquez avec un exemple concret
autre,2025,15,expliquer le rôle du narateur donez une aplication pratique
autre,2025,16,definir une proposition subordone donez une aplication pratique
autre,2025,17,transformer un discours direct rsumez entier quelques lignes
autre,2025,18,transformer une phrase active entier pasive donez déux exemple préécis
autre,2025,19,accorder un participe pas prééésentez les étapes préééincipales
autre,2025,20,definir le genre thtral rsumez entier quelques lignes
physique-chimie,2020,1,difrencier masse entier poids prééésentez les avantages entier limites
physique-chimie,2020,2,calculer un travail mcanique donez une définition complte
physique-chimie,2020,3,expliquer la réfraction expliquez avec un exemple concret
physique-chimie,2020,4,citer les tats dé la matière donez déux exemple préécis
physique-chimie,2020,5,expliquer la réfraction prééésentez les étapes préééincipales
physique-chimie,2020,6,expliquer la fusion donez déux exemple préécis
physique-chimie,2020,7,donner la composition du noyau donez une aplication pratique
physique-chimie,2020,8,definir la gravitation donez déux exemple préécis
physique-chimie,2020,9,definir la tension lectrique expliquez selon le préééograme dé finaliste
physique-chimie,2020,10,calculer une dénsit rsumez entier quelques lignes
physique-chimie,2020,11,expliquer la fusion donez une aplication pratique
physique-chimie,2020,12,calculer une préééesion ilustrez par un schéma simple
physique-chimie,2020,13,calculer une dénsit prééésentez les étapes préééincipales
physique-chimie,2020,14,citer les tats dé la matière prééésentez les étapes préééincipales
physique-chimie,2020,15,citer dés mtaux conducteurs donez une aplication pratique
physique-chimie,2020,16,calculer une dénsit expliquez selon le préééograme dé finaliste
physique-chimie,2020,17,definir l énergie cintique comparez avec une notion préééoche
physique-chimie,2020,18,expliquer la réfraction prééésentez les étapes préééincipales
physique-chimie,2020,19,definir l énergie cintique donez une aplication pratique
physique-chimie,2020,20,donner la formule dé la puissance lectrique expliquez avec un exemple concret
physique-chimie,2022,1,difrencier masse entier poids donez une aplication pratique
physique-chimie,2022,2,definir l énergie cintique prééésentez les étapes préééincipales
physique-chimie,2022,3,donner la formule dé la puissance lectrique rsumez entier quelques lignes
physique-chimie,2022,4,donner la formule dé la puissance lectrique donez déux exemple préécis
physique-chimie,2022,5,definir la tension lectrique donez une définition complte
physique-chimie,2022,6,quilibrer une équation chimique comparez avec une notion préééoche
physique-chimie,2022,7,definir l énergie cintique expliquez selon le préééograme dé finaliste
physique-chimie,2022,8,quilibrer une équation chimique comparez avec une notion préééoche
physique-chimie,2022,9,donner la formule dé la puissance lectrique donez déux exemple préécis
physique-chimie,2022,10,expliquer la réfraction expliquez selon le préééograme dé finaliste
physique-chimie,2022,11,citer dés mtaux conducteurs donez déux exemple préécis
physique-chimie,2022,12,calculer une préééesion expliquez avec un exemple concret
physique-chimie,2022,13,difrencier masse entier poids donez une définition complte
physique-chimie,2022,14,definir un acide prééésentez les étapes préééincipales
physique-chimie,2022,15,calculer une préééesion expliquez avec un exemple concret
physique-chimie,2022,16,definir la gravitation prééésentez les étapes préééincipales
physique-chimie,2022,17,calculer un travail mcanique rsumez entier quelques lignes
physique-chimie,2022,18,expliquer la fusion expliquez selon le préééograme dé finaliste
physique-chimie,2022,19,donner la formule dé la puissance lectrique donez déux exemple préécis
physique-chimie,2022,20,citer les tats dé la matière expliquez selon le préééograme dé finaliste
mathématiques,2018,1,definir une suite arithmtique prééésentez les avantages entier limites
mathématiques,2018,2,calculer un sinus donez une définition complte
mathématiques,2018,3,dterminer une équation dé droite ilustrez par un schéma simple
mathématiques,2018,4,calculer un sinus ilustrez par un schéma simple
mathématiques,2018,5,definir une suite arithmtique prééésentez les avantages entier limites
mathématiques,2018,6,résoudre un système d équations expliquez selon le préééograme dé finaliste
mathématiques,2018,7,definir une suite gomtrique comparez avec une notion préééoche
mathématiques,2018,8,dterminer une équation dé droite ilustrez par un schéma simple
mathématiques,2018,9,dterminer une équation dé droite ilustrez par un schéma simple
mathématiques,2018,10,calculer une moyenne donez une définition complte
mathématiques,2018,11,calculer une moyenne donez déux exemple préécis
mathématiques,2018,12,noncer le thorme dé Pythagore expliquez selon le préééograme dé finaliste
mathématiques,2018,13,calculer une limite comparez avec une notion préééoche
mathématiques,2018,14,résoudre une équation logarithmique donez une définition complte
mathématiques,2018,15,résoudre une inéquation expliquez selon le préééograme dé finaliste
mathématiques,2018,16,definir une suite arithmtique donez une aplication pratique
mathématiques,2018,17,résoudre une équation du second degré rsumez entier quelques lignes
mathématiques,2018,18,calculer une aire prééésentez les avantages entier limites
mathématiques,2018,19,calculer un volume ilustrez par un schéma simple
mathématiques,2018,20,dterminer une image par fonction prééésentez les avantages entier limites
mathématiques,2022,1,dterminer une primitive expliquez avec un exemple concret
mathématiques,2022,2,calculer le discriminant ilustrez par un schéma simple
mathématiques,2022,3,noncer le thorme dé Pythagore donez une aplication pratique
mathématiques,2022,4,dterminer une équation dé droite expliquez avec un exemple concret
mathématiques,2022,5,calculer un sinus donez une aplication pratique
mathématiques,2022,6,definir une suite gomtrique comparez avec une notion préééoche
mathématiques,2022,7,résoudre une inéquation rsumez entier quelques lignes
mathématiques,2022,8,factoriser une expression comparez avec une notion préééoche
mathématiques,2022,9,tracer un tableau dé signe donez une aplication pratique
mathématiques,2022,10,definir une suite arithmtique prééésentez les avantages entier limites
mathématiques,2022,11,dterminer une équation dé droite ilustrez par un schéma simple
mathématiques,2022,12,calculer une aire prééésentez les avantages entier limites
mathématiques,2022,13,dterminer une équation dé droite expliquez selon le préééograme dé finaliste
mathématiques,2022,14,dterminer une équation dé droite prééésentez les avantages entier limites
mathématiques,2022,15,résoudre une équation du second degré donez déux exemple préécis
mathématiques,2022,16,dveloper une expression donez une aplication pratique
mathématiques,2022,17,dterminer une image par fonction rsumez entier quelques lignes
mathématiques,2022,18,résoudre une équation logarithmique donez une définition complte
mathématiques,2022,19,dterminer une équation dé droite prééésentez les avantages entier limites
mathématiques,2022,20,calculer une moyenne comparez avec une notion préééoche
histoire-géo,2025,1,expliquer le changement climatique donez une aplication pratique
histoire-géo,2025,2,citer dés organisations internationales donez déux exemple préécis
histoire-géo,2025,3,citer dés organisations internationales donez une aplication pratique
histoire-géo,2025,4,citer les ocans du monde donez déux exemple préécis
histoire-géo,2025,5,expliquer l urbanisation expliquez avec un exemple concret
histoire-géo,2025,6,citer les résources minires dé la rdc comparez avec une notion préééoche
histoire-géo,2025,7,expliquer l urbanisation prééésentez les étapes préééincipales
histoire-géo,2025,8,definir la savane prééésentez les avantages entier limites
histoire-géo,2025,9,citer les préééovinces dé la rdc comparez avec une notion préééoche
histoire-géo,2025,10,citer les royaumes africains anciens expliquez avec un exemple concret
histoire-géo,2025,11,expliquer les migrations donez déux exemple préécis
histoire-géo,2025,12,citer les pays voisins dé la rdc ilustrez par un schéma simple
histoire-géo,2025,13,expliquer l urbanisation comparez avec une notion préééoche
histoire-géo,2025,14,definir la dmocratie donez une aplication pratique
histoire-géo,2025,15,expliquer les consquences dé la seconde guerre mondiale expliquez selon le préééograme dé finaliste
histoire-géo,2025,16,definir la savane donez une aplication pratique
histoire-géo,2025,17,citer dés organisations internationales donez une aplication pratique
histoire-géo,2025,18,definir latitude entier longitude rsumez entier quelques lignes
histoire-géo,2025,19,definir la savane donez déux exemple préécis
histoire-géo,2025,20,expliquer le rôle dé l onu prééésentez les étapes préééincipales
biologie,2024,1,definir la céllule
biologie,2024,2,definir un tisu
biologie,2024,3,expliquer le rôle du noyau célulaire
biologie,2024,4,definir une maladie hrditaire
biologie,2024,5,citer les parties préééincipales d une céllule animale
biologie,2024,6,citer trois maladies infectieuses
biologie,2024,7,difrencier virus entier bactrie
biologie,2024,8,definir l imunit
biologie,2024,9,expliquer la respiration pulmonaire
biologie,2024,10,definir un cosystme
biologie,2024,11,expliquer le rôle dés globules rouges
biologie,2024,12,expliquer la chance alimentaire
biologie,2024,13,citer les besoins nutritifs dés plantes
biologie,2024,14,citer trois organes du système digestif
biologie,2024,15,donner les groupes sanguins chez l home
biologie,2024,16,definir la photosynthèse
biologie,2024,17,definir la mitose
biologie,2024,18,expliquer la reproduction sexue
biologie,2024,19,expliquer le rôle dé l ADN
biologie,2024,20,citer les étapes dé la digestion
autre,2019,1,definir une proposition subordone relative
autre,2019,2,donner un exemple dé métaphore
autre,2019,3,definir le genre thtral
autre,2019,4,donner le contraire du mot rapide
autre,2019,5,donner le synonyme du mot courageux
autre,2019,6,rédiger un court paragraphe argumentatif
autre,2019,7,former une phrase au conditionnel prééésent
autre,2019,8,identifier le temps verbal utiliser dans un texte
autre,2019,9,expliquer le rôle du narateur dans un récit
autre,2019,10,transformer une phrase active entier phrase pasive
autre,2019,11,identifier la figure dé style dans la phrase done
autre,2019,12,definir le complément d objet direct
autre,2019,13,rédiger une introduction sur le thème dé l ducation
autre,2019,14,coriger les fautes dans une phrase done
autre,2019,15,conjuguer le verbe venir au pas simple
autre,2019,16,definir le régistre soutenu
autre,2019,17,expliquer la difrence entre auteur entier narateur
autre,2019,18,transformer une phrase du discours direct au discours indirect
autre,2019,19,accorder corectement le participe pas dans une phrase
autre,2019,20,identifier le champ lexical dé la guerre
physique-chimie,2022,1,definir un atome donez une définition complte
physique-chimie,2022,2,definir la tension lectrique prééésentez les étapes préééincipales
physique-chimie,2022,3,citer dés mtaux conducteurs rsumez entier quelques lignes
